category;validScientificNameId;validScientificName;preferredPopularName;taxonGroupName;collector;dateTimeCollected;locality;coordinateUncertaintyInMeters;municipality;county;individualCount;latitude;longitude;geometry;scientificNameRank;behavior;notes;sex;Ansvarsarter;Trua arter;Andre spesielt hensynskrevende arter;Spesielle okologiske former;Prioriterte arter;Fredete arter;NT;Fremmede arter;log_reason
LC;204585;Mareca penelope;brunnakke;Fugler;Stig  Rasmussen;25.05.2019 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;4;69,307178;16,095313;POINT (543192 7689001);species;;Validationstatus: Approved Documented;in pair;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;3487;Aythya fuligula;toppand;Fugler;Line Selvaag;25.05.1997 00:00:00;Andøya flystasjon, Andøy, No;300.0;Andøy;Nordland;2;69,296024;16,127517;POINT (544485 7687780);species;;Observatør/kilde: Stokke, M. 2005. Fugleregistreringer ved Andøya Flystasjon i perioden 1990-1997. Utskrift av feltdagbøker. Upublisert..;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;3454;Anas crecca;krikkand;Fugler;Anette Jensen;06.05.2012 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;4;69,282608;16,151574;POINT (545462 7686302);species;possiblereproductive;Activity: PairInSuitableHabitat.;in pair;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;184055;Oenanthe oenanthe;steinskvett;Fugler;Anette Jensen;10.04.2014 00:00:00;Andøya flystasjon N, Andøya flystasjon, Andøy, No;400.0;Andøy;Nordland;1;69,307997;16,113486;POINT (543907 7689105);species;stationary;Activity: Resting.;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;4406;Prunella modularis;jernspurv;Fugler;Anette Jensen;24.05.2009 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: InNestingHabitat.;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;4406;Prunella modularis;jernspurv;Fugler;Anette Jensen;29.04.2009 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;feeding;Activity: Forage.;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;4547;Turdus iliacus;rødvingetrost;Fugler;Anette Jensen;12.06.2008 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: InNestingHabitat.;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;4164;Corvus cornix;kråke;Fugler;Bjørn Olav Tveit;08.06.2014 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;10;69,307254;16,095034;POINT (543181 7689009);species;;;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;3510;Cygnus cygnus;sangsvane;Fugler;Line Selvaag;01.07.2005 00:00:00;Lomstjønna, Stormyra, Andøy, No;300.0;Andøy;Nordland;1;69,28475;16,051556;POINT (541510 7686470);species;;Hekkeplass for sangsvane i 2005, ganske regelmessig også tidligere år (H. Pedersen, pers. medd)..;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;4162;Corvus corax;ravn;Fugler;Håvar Hveding;31.07.2020 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
